Name;Year;UniversityScore;Productivity;Popularity
Malakas Samaras;1951;0;0;
John Whittaker;1945;0;43;90
Louis Bontes;1956;20;8;39
Guy Maurice Marie Louise Verhofstadt;1953;13.3;0;8
Ashley Fox;1969;0;798;455
Milan Zver;1962;9.4;936;6894
Ivars Godmanis;1951;0;11;259
Krisztina Morvai;1963;21;1020;180
Marina Yannakoudakis;1956;0;250;18
Godelieve Quisthoudt-Rowohl;1947;0;126;360
Daniel Hannan;1971;0;1560;17286
Colm Burke;1957;0;88;5
Paolo Cirino Pomicino;1939;0;1;438
Carl Schlyter;1968;0;347;2776
Nessa Childers;1956;13.3;603;5609
Jean Lambert;1950;16.3;999;51
Christofer Fjellner;1976;27.4;489;7698
Roger Helmer;1944;0;483;223
Roger Maurice Knapman;1944;0;0;3
Joe Higgins;1949;0;57;6889
Paolo Costa;1943;0;69;30
Poul Nyrup Rasmussen;1943;18.8;47;290
Jim Higgins;1945;0;411;46
Richard Ashworth;1947;0;351;26
Bashir Khanbhai;1945;0;37;43
Malcolm Harbour;1947;0;329;1
Indrek Tarand;1964;33.6;417;49
Helle Thorning-Schmidt;1966;18.8;47;196541
Avril Doyle;1949;0;473;40
Alexandru Athanasiu;1955;0;2;316
Pier Luigi Bersani;1951;0;5;9340
Robert Goodwill;1956;0;53;84
Vincent Peillon;1960;0;159;4963
Tanja Fajon;1971;0;381;8756
Brian Crowley;1964;0;358;38
Ivaylo Kalfin;1964;0;0;75
Antonio Tajani;1953;13.3;1506;1303
Andrew Duff;1950;0;255;237
Gay Mitchell;1951;0;276;192
Robert Fico;1964;0;1;2163
Pierre Moscovici;1957;0;247;31780
Syed Kamall;1967;13.3;1083;34
Giorgio Napolitano;1925;0;58;40623
David Campbell-Bannerman;1960;29.35;0;
Borut Pahor;1963;0;20;37788
Nigel Farage;1964;0;858;294524
Pascal Canfin;1974;0;26;10373
Boris Zala;1954;0;273;27
Rolandas Paksas;1956;0;3150;7024
Paulo Portas;1962;0;5;56662
Proinsias De Rossa;1940;0;579;7
Paul Andrew Nuttall;1976;0;0;
Simon Coveney;1972;0;49;
Kathy Sinnott;1950;0;246;237
Pat Cox;1952;13.3;1056;127
Gerard Collins;1938;0;111;2
Emma Bonino;1948;0;41;44865
Toomas Hendrik Ilves;1953;33.8;8;99669
Matteo Salvini;1973;0;1524;1316190
Robert Sturdy;1944;22.4;87;19
Rachida Dati;1965;0;3918;41656
Robert Kilroy-Silk;1942;0;7;113
Kristian Vigenin;1975;0;127;9169
Enrico Letta;1966;23.1;7;65765
Rovana Plumb;1960;0;306;17898
Richard Seeber;1962;9.4;290;4
Wolf Klinz;1941;0;105;16
Jerzy Buzek;1940;0;2673;59003
Nick Griffin;1959;0;65;2776
Mart Laar;1960;0;1;5564
Camiel Eurlings;1973;0;34;246
Tunne-VÃ¤ldo Kelam;1936;0;0;
Ioannis Varvitsiotis;1933;18.8;55;5
Anna Maria Corazza Bildt;1963;65.9;705;1118
Antoni Macierewicz;1948;0;1;10762
